image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_n_points,cluster_5_avg_strength,cluster_5_entropy,cluster_6_n_points,cluster_6_avg_strength,cluster_6_entropy,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_13_n_points,cluster_13_avg_strength,cluster_12_entropy,cluster_13_entropy,cluster_14_n_points,cluster_14_avg_strength,cluster_15_n_points,cluster_15_avg_strength,cluster_14_entropy,cluster_15_entropy
0,Object Counting,How many cats are in the image?,2,http://images.cocodataset.org/val2017/000000039769.jpg,5,117,1.0000000000000069,-0.16347815096378326,,5,100,0.001972646690640161,24.0,0.0019704987481383007,144.0,0.001964316223033138,171.0,0.001971884868149899,18.0,0.0019502246127610329,0.9691107455823551,0.9477867202775714,0.9686669584667686,0.9869090714353014,0.9773429734731779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Object Counting,How many people are visible?,4,http://images.cocodataset.org/val2017/000000334555.jpg,6,178,1.0000000000000069,-0.16581358015537262,,6,15,0.0019577444262168374,25.0,0.0019534803353024,51.0,0.0019519378704169605,41.0,0.00195221015533573,192.0,0.001964104352442817,0.8830374409547587,0.9236927303016107,0.9780161822350101,0.9796838755550401,0.9727904218261967,23.0,0.001965458449303042,0.9224409677146628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Object Counting,How many elephants are present?,3,http://images.cocodataset.org/val2017/000000025393.jpg,7,149,1.0000000000000069,-0.09236517548561096,,7,144,0.0019508498781327516,50.0,0.001944581069524807,31.0,0.0019360598201134868,23.0,0.0019417707463132653,47.0,0.0019523581684293165,0.9795639276066209,0.9981647672886332,0.9560089022414302,0.9459180977787195,0.9798089833021679,15.0,0.0019053616241948906,0.9859247724121322,14.0,0.0019106412533206106,0.9926140680171256,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Object Identification,What animal is shown?,elephant,http://images.cocodataset.org/val2017/000000025393.jpg,7,209,1.0000000000000069,-0.9583725929260254,Human,7,31,0.0021183958206854223,104.0,0.0020971013605483617,24.0,0.0021153611238748054,39.0,0.002090984456161237,16.0,0.0020760010634155333,0.9610541506765679,0.974523958463129,0.966465823449233,0.9957460478621499,0.9248008763572906,18.0,0.002116356566701615,0.9435794406736079,31.0,0.002093239355440493,0.9602796710869437,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Object Identification,What vehicle is in the image?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,6,348,1.0000000000000069,-1.2723608016967773,None,6,23,0.002592635957000096,15.0,0.002469529889052917,18.0,0.002642217885241599,15.0,0.0024872191711439286,31.0,0.0024799813230003864,0.9394131210000187,0.982798115178801,0.872009434056298,0.9161314485121343,0.9758189698783086,29.0,0.002558226342532689,0.9984672906700829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Object Identification,What is the main furniture item?,bed,http://images.cocodataset.org/val2017/000000356347.jpg,10,182,1.0000000000000069,-1.3739625215530396,Table,10,16,0.002302162355062917,17.0,0.0026246902577100662,32.0,0.0025072717130971748,47.0,0.0024148850795931965,33.0,0.002320489908801647,0.9618974703476992,0.9975025463691152,0.9631198078956369,0.9672956324574178,0.9481229326337425,35.0,0.0023478755764437423,0.9741867829828256,16.0,0.0023198546009544343,0.9772170014624824,56.0,0.002349779737366433,16.0,0.0023146804586969393,15.0,0.002369452649094761,0.9842151499527387,0.9681390622295665,0.9877812438119247,,,,,,,,,,,,,,,,,,
7,Object Detection,What is on the desk?,laptop,http://images.cocodataset.org/val2017/000000231339.jpg,8,130,1.0000000000000069,-2.4415197372436523,B,8,98,0.00194001454226026,100.0,0.001940670813882102,45.0,0.0019322126237280761,59.0,0.0019374133573638447,55.0,0.001937222158532413,0.9808326513680855,0.9719094024912215,0.963862439338,0.9544497367959809,0.9466942059682016,10.0,0.0019322869497649636,0.8812908992306927,16.0,0.0019144420942568434,1.0,24.0,0.0019235052396054323,,,,,0.9829829070554724,,,,,,,,,,,,,,,,,,,,
8,Object Detection,What electronic device is visible?,laptop,http://images.cocodataset.org/val2017/000000459467.jpg,2,285,1.0000000000000069,-2.3961148262023926,Camera,2,15,0.003084970319021897,20.0,0.0031665829590028587,,,,,,,0.944623214254579,0.9403319177008926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Object Counting,How many umbrellas are visible?,1,http://images.cocodataset.org/val2017/000000285894.jpg,6,82,1.0000000000000069,-0.10061411559581757,,6,220,0.002058891587565792,27.0,0.0020621106521905956,197.0,0.002041116599975242,20.0,0.002037380633147955,45.0,0.0020411985904130827,0.988077850185896,0.9629892990890716,0.9777372404026181,0.9794359242226801,0.955833879060422,14.0,0.0020244779339092514,0.995232557322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Object Identification,What appliance is in the kitchen?,refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,12,141,1.0000000000000069,-1.7665035724639893,Re,12,47,0.0018634890123881349,15.0,0.001876865123524234,45.0,0.0018649072846865483,15.0,0.0018807791460099764,16.0,0.0018533833295993152,0.9601704281909846,0.9967916319816366,0.9672002922951669,0.9709505944546686,0.9056390622295665,74.0,0.0018528733733977976,0.9711671332779035,45.0,0.0018714892863255306,0.9704988640021963,32.0,0.0018454616835649983,12.0,0.0018366359587731493,3.0,0.0018316069341211925,0.952466560435043,0.9591479170272448,0.0,26.0,0.0018621997317391852,19.0,0.0018687084543692893,0.9559021781330588,0.9826301639446198,,,,,,,,,,,,
